file,check,status,n_issues,detail
results/2d_benchmarks/core2_drift_diffusion_recovery.csv,read_csv,PASS,0,rows=2 cols=10
results/2d_benchmarks/core2_drift_diffusion_recovery.csv,duplicate_full_rows,PASS,0,exact duplicate rows
results/2d_benchmarks/core2_drift_diffusion_recovery.csv,allowed_missing_cells,INFO,1,blank/nan allowed for non-applicable metrics such as a12 on diagonal systems
results/2d_benchmarks/core2_drift_diffusion_recovery.csv,drift_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/2d_benchmarks/core2_drift_diffusion_recovery.csv,diffusion_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/2d_benchmarks/core2_drift_diffusion_recovery.csv,a12_sign_acc:fraction_range,PASS,0,"must lie in [0,1]"
results/2d_benchmarks/core2_drift_diffusion_recovery.csv,psd_valid_pct:fraction_range,PASS,0,"must lie in [0,1]"
results/benchmark_summary.csv,read_csv,PASS,0,rows=115 cols=38
results/benchmark_summary.csv,duplicate_full_rows,PASS,0,exact duplicate rows
results/benchmark_summary.csv,allowed_missing_cells,INFO,395,blank/nan allowed for non-applicable metrics such as a12 on diagonal systems
results/benchmark_summary.csv,b1_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/benchmark_summary.csv,b2_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/benchmark_summary.csv,drift_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/benchmark_summary.csv,diffusion_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/benchmark_summary.csv,a12_cosine:cosine_range,PASS,0,"must lie in [-1,1]"
results/benchmark_summary.csv,a12_sign_acc:fraction_range,PASS,0,"must lie in [0,1]"
results/benchmark_summary.csv,psd_valid_pct:fraction_range,PASS,0,"must lie in [0,1]"
results/benchmark_summary.csv,oracle_drift_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/benchmark_summary.csv,oracle_diffusion_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/benchmark_summary.csv,oracle_a12_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/benchmark_summary.csv,oracle_a12_cosine:cosine_range,PASS,0,"must lie in [-1,1]"
results/circulation/circ2_current_field.csv,read_csv,PASS,0,rows=5 cols=7
results/circulation/circ2_current_field.csv,duplicate_full_rows,PASS,0,exact duplicate rows
results/circulation/circ2_current_field.csv,allowed_missing_cells,PASS,0,blank/nan allowed for non-applicable metrics such as a12 on diagonal systems
results/circulation/circ2_current_field.csv,current_cosine:cosine_range,PASS,0,"must lie in [-1,1]"
results/circulation/circ3_detector_nulls.csv,read_csv,PASS,0,rows=25 cols=12
results/circulation/circ3_detector_nulls.csv,duplicate_full_rows,PASS,0,exact duplicate rows
results/circulation/circ3_detector_nulls.csv,allowed_missing_cells,PASS,0,blank/nan allowed for non-applicable metrics such as a12 on diagonal systems
results/coefficient_recovery.csv,read_csv,PASS,0,rows=4030 cols=15
results/coefficient_recovery.csv,duplicate_full_rows,PASS,0,exact duplicate rows
results/coefficient_recovery.csv,allowed_missing_cells,PASS,0,blank/nan allowed for non-applicable metrics such as a12 on diagonal systems
results/coefficient_recovery.csv,abs_error:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/coefficient_recovery.csv,rel_error:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/convergence_slopes.csv,read_csv,PASS,0,rows=16 cols=14
results/convergence_slopes.csv,duplicate_full_rows,PASS,0,exact duplicate rows
results/convergence_slopes.csv,allowed_missing_cells,PASS,0,blank/nan allowed for non-applicable metrics such as a12 on diagonal systems
results/diffusion_tensor_error.csv,read_csv,PASS,0,rows=345 cols=14
results/diffusion_tensor_error.csv,duplicate_full_rows,PASS,0,exact duplicate rows
results/diffusion_tensor_error.csv,allowed_missing_cells,INFO,585,blank/nan allowed for non-applicable metrics such as a12 on diagonal systems
results/diffusion_tensor_error.csv,a11_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/diffusion_tensor_error.csv,a22_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/diffusion_tensor_error.csv,a12_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/diffusion_tensor_error.csv,a12_sign_accuracy:fraction_range,PASS,0,"must lie in [0,1]"
results/failure_case_report.csv,read_csv,PASS,0,rows=8 cols=22
results/failure_case_report.csv,duplicate_full_rows,PASS,0,exact duplicate rows
results/failure_case_report.csv,allowed_missing_cells,INFO,19,blank/nan allowed for non-applicable metrics such as a12 on diagonal systems
results/failure_case_report.csv,drift_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/failure_case_report.csv,b1_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/failure_case_report.csv,b2_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/failure_case_report.csv,diffusion_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/failure_case_report.csv,psd_valid_pct:fraction_range,PASS,0,"must lie in [0,1]"
results/failure_case_report.csv,oracle_drift_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/failure_case_report.csv,oracle_diffusion_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/failure_case_report.csv,oracle_a12_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/failure_case_report.csv,oracle_a12_cosine:cosine_range,PASS,0,"must lie in [-1,1]"
results/fluctuation/fluc1_noise_correction.csv,read_csv,PASS,0,rows=16 cols=13
results/fluctuation/fluc1_noise_correction.csv,duplicate_full_rows,PASS,0,exact duplicate rows
results/fluctuation/fluc1_noise_correction.csv,allowed_missing_cells,INFO,16,blank/nan allowed for non-applicable metrics such as a12 on diagonal systems
results/fluctuation/fluc1_noise_correction.csv,diffusion_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/fluctuation/fluc1_noise_correction.csv,a11_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/fluctuation/fluc1_noise_correction.csv,a22_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/fluctuation/fluc1_noise_correction.csv,a12_rel_l2:nonnegative,PASS,0,relative/absolute errors must be nonnegative
results/fluctuation/fluc1_noise_correction.csv,a12_cosine:cosine_range,PASS,0,"must lie in [-1,1]"
results/function_error.csv,read_csv,PASS,0,rows=515 cols=11
results/function_error.csv,duplicate_full_rows,PASS,0,exact duplicate rows
results/function_error.csv,allowed_missing_cells,INFO,195,blank/nan allowed for non-applicable metrics such as a12 on diagonal systems
results/function_error.csv,cosine:cosine_range,PASS,0,"must lie in [-1,1]"
results/heston_cir/lev1_synthetic_regimes.csv,read_csv,PASS,0,rows=120 cols=23
